Name,Cloud Cover,Solar Radiation,Relative Humidity,Temperature,Wind Speed,Solar Energy
"Kyoto, Japan",4.9,0.0,67.6,45.6,2.7,0.0
"Kyoto, Japan",4.9,10.0,65.1,47.2,2.5,0.0
"Kyoto, Japan",0.2,62.0,55.7,51.3,2.0,0.2
"Kyoto, Japan",4.6,137.0,48.2,55.1,2.0,0.5
"Kyoto, Japan",5.1,222.0,42.5,58.9,3.1,0.8
"Kyoto, Japan",8.1,816.0,39.0,62.1,4.5,2.9
"Kyoto, Japan",10.6,875.0,38.7,64.7,6.0,3.2
"Kyoto, Japan",64.6,912.0,38.4,67.0,7.2,3.3
"Kyoto, Japan",100.0,923.0,38.7,69.0,8.9,3.3
"Kyoto, Japan",100.0,904.0,39.0,69.3,10.5,3.3
"Kyoto, Japan",100.0,855.0,38.5,68.8,11.2,3.1
"Kyoto, Japan",100.0,433.0,39.2,68.1,11.0,1.6
"Kyoto, Japan",100.0,342.0,44.0,66.6,9.2,1.2
"Kyoto, Japan",100.0,264.0,52.7,64.1,5.8,1.0
"Kyoto, Japan",100.0,201.0,59.2,61.8,5.1,0.7
"Kyoto, Japan",100.0,160.0,64.5,60.5,4.5,0.6
"Kyoto, Japan",100.0,134.0,67.5,59.8,2.9,0.5
"Kyoto, Japan",99.6,0.0,69.5,59.1,2.0,0.0
"Kyoto, Japan",100.0,0.0,72.9,58.0,0.7,0.0
"Kyoto, Japan",100.0,0.0,74.0,57.8,0.7,0.0
"Kyoto, Japan",100.0,0.0,72.8,58.4,0.4,0.0
"Kyoto, Japan",100.0,0.0,73.4,58.6,0.7,0.0
"Kyoto, Japan",100.0,0.0,74.4,58.6,1.8,0.0
"Kyoto, Japan",100.0,0.0,79.0,57.8,1.3,0.0
"Kyoto, Japan",100.0,0.0,83.7,57.0,0.9,0.0
"Kyoto, Japan",100.0,0.0,88.3,56.2,0.4,0.0
"Kyoto, Japan",100.0,4.3,88.4,56.5,1.1,0.0
"Kyoto, Japan",100.0,8.7,88.4,56.7,1.8,0.0
"Kyoto, Japan",100.0,13.0,88.5,56.9,2.5,0.0
"Kyoto, Japan",100.0,43.7,87.0,57.5,2.4,0.2
"Kyoto, Japan",100.0,74.3,85.4,58.0,2.3,0.3
"Kyoto, Japan",100.0,105.0,83.9,58.6,2.2,0.4
"Kyoto, Japan",100.0,113.3,83.0,59.3,2.2,0.4
"Kyoto, Japan",100.0,121.7,82.2,60.0,2.1,0.4
"Kyoto, Japan",100.0,130.0,81.3,60.7,2.0,0.5
"Kyoto, Japan",100.0,102.0,83.9,60.2,1.5,0.4
"Kyoto, Japan",100.0,74.0,86.4,59.7,1.0,0.3
"Kyoto, Japan",100.0,46.0,89.0,59.3,0.4,0.2
"Kyoto, Japan",100.0,38.3,91.8,58.8,0.6,0.1
"Kyoto, Japan",100.0,30.7,94.6,58.4,0.7,0.1
"Kyoto, Japan",100.0,23.0,97.4,58.0,0.9,0.1
"Kyoto, Japan",100.0,15.3,97.8,57.9,1.3,0.1
"Kyoto, Japan",100.0,7.7,98.1,57.8,1.6,0.0
"Kyoto, Japan",100.0,0.0,98.5,57.6,2.0,0.0
"Kyoto, Japan",100.0,0.0,98.7,57.5,1.9,0.0
"Kyoto, Japan",100.0,0.0,98.8,57.3,1.9,0.0
"Kyoto, Japan",100.0,0.0,99.0,57.1,1.8,0.0
"Kyoto, Japan",100.0,0.0,99.0,57.2,1.6,0.0
"Kyoto, Japan",100.0,0.0,99.0,57.2,1.3,0.0
"Kyoto, Japan",100.0,0.0,99.0,57.3,1.1,0.0
"Kyoto, Japan",100.0,3.0,98.2,57.4,1.4,0.0
"Kyoto, Japan",100.0,6.0,97.4,57.5,1.7,0.0
"Kyoto, Japan",100.0,9.0,96.6,57.6,2.0,0.0
"Kyoto, Japan",100.0,20.0,96.3,57.5,2.4,0.1
"Kyoto, Japan",100.0,31.0,95.9,57.3,2.8,0.1
"Kyoto, Japan",100.0,42.0,95.6,57.1,3.1,0.2
"Kyoto, Japan",100.0,42.3,95.1,56.8,2.3,0.2
"Kyoto, Japan",100.0,42.7,94.5,56.5,1.5,0.2
"Kyoto, Japan",100.0,43.0,94.0,56.2,0.7,0.2
"Kyoto, Japan",100.0,38.7,95.1,55.7,1.3,0.1
"Kyoto, Japan",100.0,34.3,96.2,55.2,2.0,0.1
"Kyoto, Japan",100.0,30.0,97.3,54.8,2.7,0.1
"Kyoto, Japan",100.0,25.0,97.0,54.7,2.4,0.1
"Kyoto, Japan",100.0,20.0,96.6,54.5,2.1,0.1
"Kyoto, Japan",100.0,15.0,96.3,54.4,1.8,0.1
"Kyoto, Japan",76.9,10.0,96.4,53.9,1.9,0.0
"Kyoto, Japan",53.7,5.0,96.4,53.4,1.9,0.0
"Kyoto, Japan",30.6,0.0,96.5,53.0,2.0,0.0
"Kyoto, Japan",44.7,0.0,96.1,52.6,2.3,0.0
"Kyoto, Japan",58.7,0.0,95.8,52.1,2.6,0.0
"Kyoto, Japan",72.8,0.0,95.4,51.7,2.9,0.0
"Kyoto, Japan",49.8,3.7,94.1,51.6,2.6,0.0
"Kyoto, Japan",26.9,7.3,92.9,51.6,2.3,0.0
"Kyoto, Japan",3.9,11.0,91.6,51.5,2.0,0.0
"Kyoto, Japan",4.5,78.7,86.3,54.3,2.2,0.3
"Kyoto, Japan",5.2,146.3,81.1,57.1,2.5,0.5
"Kyoto, Japan",5.8,214.0,75.8,59.8,2.7,0.8
"Kyoto, Japan",36.0,427.3,69.1,62.2,3.6,1.5
"Kyoto, Japan",66.2,640.7,62.4,64.6,4.5,2.3
"Kyoto, Japan",96.4,854.0,55.7,67.0,5.4,3.1
"Kyoto, Japan",96.0,815.3,57.6,66.8,5.7,2.9
"Kyoto, Japan",95.5,776.7,59.6,66.7,6.0,2.8
"Kyoto, Japan",95.1,738.0,61.5,66.5,6.3,2.7
"Kyoto, Japan",96.7,552.3,63.3,65.4,6.3,2.0
"Kyoto, Japan",98.4,366.7,65.2,64.3,6.3,1.3
"Kyoto, Japan",100.0,181.0,67.0,63.2,6.3,0.7
"Kyoto, Japan",99.9,150.7,71.8,61.6,4.3,0.5
"Kyoto, Japan",99.9,120.3,76.5,59.9,2.2,0.4
"Kyoto, Japan",99.8,90.0,81.3,58.2,0.2,0.3
"Kyoto, Japan",71.6,60.0,83.5,56.7,1.2,0.2
"Kyoto, Japan",43.3,30.0,85.8,55.3,2.2,0.1
"Kyoto, Japan",15.1,0.0,88.0,53.9,3.1,0.0
"Kyoto, Japan",11.7,0.0,87.1,53.3,3.7,0.0
"Kyoto, Japan",8.4,0.0,86.2,52.7,4.2,0.0
"Kyoto, Japan",5.0,0.0,85.3,52.1,4.7,0.0
"Kyoto, Japan",4.9,3.7,86.0,52.0,4.3,0.0
"Kyoto, Japan",4.9,7.3,86.8,52.0,4.0,0.0
"Kyoto, Japan",4.8,11.0,87.5,51.9,3.6,0.0
"Kyoto, Japan",16.4,80.0,79.5,54.5,5.0,0.3
"Kyoto, Japan",27.9,149.0,71.5,57.1,6.4,0.5
"Kyoto, Japan",39.5,218.0,63.5,59.6,7.8,0.8
"Kyoto, Japan",54.7,404.3,62.7,60.3,9.7,1.5
"Kyoto, Japan",69.9,590.7,62.0,61.1,11.6,2.1
"Kyoto, Japan",85.1,777.0,61.2,61.8,13.4,2.8
"Kyoto, Japan",59.8,758.0,60.6,61.0,14.4,2.7
"Kyoto, Japan",34.6,739.0,60.1,60.1,15.4,2.7
"Kyoto, Japan",9.3,720.0,59.5,59.3,16.3,2.6
"Kyoto, Japan",6.4,610.3,60.7,58.3,14.2,2.2
"Kyoto, Japan",3.4,500.7,62.0,57.4,12.2,1.8
"Kyoto, Japan",0.5,391.0,63.2,56.4,10.1,1.4
"Kyoto, Japan",0.7,327.0,68.5,54.9,8.4,1.2
"Kyoto, Japan",1.0,263.0,73.7,53.4,6.8,0.9
"Kyoto, Japan",1.2,199.0,79.0,51.9,5.1,0.7
"Kyoto, Japan",2.3,132.7,80.8,51.3,4.5,0.5
"Kyoto, Japan",3.3,66.3,82.7,50.7,4.0,0.2
"Kyoto, Japan",4.4,0.0,84.5,50.1,3.4,0.0
"Kyoto, Japan",3.1,0.0,85.8,49.5,3.1,0.0
"Kyoto, Japan",1.7,0.0,87.2,49.0,2.9,0.0
"Kyoto, Japan",0.4,0.0,88.5,48.5,2.7,0.0
"Kyoto, Japan",1.1,4.3,87.0,48.9,2.2,0.0
"Kyoto, Japan",1.8,8.7,85.5,49.3,1.8,0.0
"Kyoto, Japan",2.5,13.0,84.0,49.7,1.3,0.0
"Kyoto, Japan",1.7,84.0,73.7,53.4,2.2,0.3
"Kyoto, Japan",0.8,155.0,63.5,57.1,3.0,0.6
"Kyoto, Japan",0.0,226.0,53.2,60.7,3.8,0.8
"Kyoto, Japan",0.0,453.0,47.9,63.6,4.3,1.6
"Kyoto, Japan",0.0,680.0,42.7,66.5,4.8,2.4
"Kyoto, Japan",0.0,907.0,37.4,69.3,5.4,3.3
"Kyoto, Japan",0.0,904.3,35.6,70.4,5.5,3.3
"Kyoto, Japan",0.0,901.7,33.8,71.5,5.7,3.2
"Kyoto, Japan",0.0,899.0,32.0,72.6,5.8,3.2
