TIME,demand,solar,wind
5:00,"2,324",0,19
6:00,"2,546",8,20
7:00,"2,823",56,20
8:00,"3,116",200,21
9:00,"3,339",421,17
10:00,"3,367",545,16
11:00,"3,333",549,18
12:00,"3,193",608,19
13:00,"3,313",560,19
14:00,"3,332",501,19
15:00,"3,338",365,21
16:00,"3,401",192,22
17:00,"3,474",47,23
18:00,"3,634",0,20
19:00,"3,556",0,21
20:00,"3,438",0,18
21:00,"3,304",0,21
22:00,"3,221",0,20
23:00,"2,999",0,19
0:00,"2,702",0,13
1:00,"2,566",0,12
2:00,"2,526",0,14
3:00,"2,526",0,16
4:00,"2,566",0,11
5:00,"2,687",8,11
6:00,"2,949",110,10
7:00,"3,095",274,7
8:00,"3,286",441,3
9:00,"3,447",575,2
10:00,"3,472",643,2
11:00,"3,447",670,2
12:00,"3,257",658,2
13:00,"3,380",606,1
14:00,"3,381",504,2
15:00,"3,364",343,2
16:00,"3,412",167,4
17:00,"3,461",29,5
18:00,"3,617",0,7
19:00,"3,543",0,9
20:00,"3,403",0,9
21:00,"3,241",0,10
22:00,"3,106",0,10
23:00,"2,860",0,10
0:00,"2,606",0,9
1:00,"2,471",0,9
2:00,"2,440",0,9
3:00,"2,439",0,9
4:00,"2,456",0,10
5:00,"2,559",0,10
6:00,"2,808",11,9
7:00,"3,062",52,10
8:00,"3,340",108,11
9:00,"3,577",169,12
10:00,"3,588",214,14
11:00,"3,552",240,16
12:00,"3,350",303,16
13:00,"3,474",316,19
14:00,"3,385",223,21
15:00,"3,347",137,18
16:00,"3,398",45,18
17:00,"3,443",1,19
18:00,"3,518",0,18
19:00,"3,401",0,17
20:00,"3,256",0,17
21:00,"3,121",0,17
22:00,"3,026",0,17
23:00,"2,809",0,15
0:00,"2,574",0,13
1:00,"2,449",0,12
2:00,"2,429",0,11
3:00,"2,435",0,11
4:00,"2,452",0,14
5:00,"2,538",0,13
6:00,"2,732",14,11
7:00,"2,978",62,9
8:00,"3,278",112,7
9:00,"3,494",155,6
10:00,"3,554",209,6
11:00,"3,542",264,5
12:00,"3,357",274,5
13:00,"3,474",280,4
14:00,"3,429",267,5
15:00,"3,350",209,5
16:00,"3,379",134,6
17:00,"3,376",27,7
18:00,"3,463",0,9
19:00,"3,373",0,8
20:00,"3,218",0,7
21:00,"3,064",0,10
22:00,"2,950",0,13
23:00,"2,760",0,18
0:00,"2,562",0,18
1:00,"2,437",0,18
2:00,"2,403",0,19
3:00,"2,417",0,18
4:00,"2,446",0,18
5:00,"2,515",4,17
6:00,"2,691",96,15
7:00,"2,863",284,17
8:00,"3,053",455,20
9:00,"3,248",584,20
10:00,"3,274",657,20
11:00,"3,268",682,21
12:00,"3,079",658,22
13:00,"3,222",630,22
14:00,"3,224",536,21
15:00,"3,230",400,21
16:00,"3,278",217,20
17:00,"3,262",48,19
18:00,"3,367",0,18
19:00,"3,304",0,17
20:00,"3,172",0,16
21:00,"3,051",0,13
22:00,"2,956",0,12
23:00,"2,750",0,11
0:00,"2,524",0,7
1:00,"2,414",0,6
2:00,"2,377",0,5
3:00,"2,368",0,6
4:00,"2,371",0,5
5:00,"2,377",4,4
6:00,"2,450",83,3
7:00,"2,567",219,2
8:00,"2,755",360,2
9:00,"2,867",429,2
10:00,"2,911",474,5
11:00,"2,896",472,6
12:00,"2,830",439,6
13:00,"2,856",381,7
14:00,"2,840",310,7
15:00,"2,818",232,7
16:00,"2,845",123,10
17:00,"2,897",27,13
18:00,"3,081",0,15
19:00,"3,068",0,16
20:00,"2,971",0,17
21:00,"2,813",0,16
22:00,"2,696",0,17
23:00,"2,537",0,19
0:00,"2,341",0,23
1:00,"2,241",0,24
