DATE,TIME,demand,fossil,solar,wind
2021/3/1,0:00,2771,2496,0,13
2021/3/1,1:00,2678,2474,0,12
2021/3/1,2:00,2655,2489,0,12
2021/3/1,3:00,2658,2511,0,13
2021/3/1,4:00,2720,2555,0,13
2021/3/1,5:00,2932,2739,0,13
2021/3/1,6:00,3327,3033,14,12
2021/3/1,7:00,3650,3022,194,11
2021/3/1,8:00,3926,2937,517,9
2021/3/1,9:00,4039,2788,851,6
2021/3/1,10:00,3957,2444,1072,4
2021/3/1,11:00,3886,2329,1216,3
2021/3/1,12:00,3685,2259,1168,5
2021/3/1,13:00,3719,2354,1053,7
2021/3/1,14:00,3666,2435,836,7
2021/3/1,15:00,3565,2637,475,9
2021/3/1,16:00,3530,2971,159,12
2021/3/1,17:00,3633,3278,11,14
2021/3/1,18:00,3706,3329,0,15
2021/3/1,19:00,3597,3237,0,19
2021/3/1,20:00,3437,3048,0,20
2021/3/1,21:00,3256,2874,0,21
2021/3/1,22:00,3075,2675,0,21
2021/3/1,23:00,2889,2481,0,23
2021/3/2,0:00,2668,2298,0,32
2021/3/2,1:00,2582,2252,0,32
2021/3/2,2:00,2571,2245,0,34
2021/3/2,3:00,2569,2264,0,35
2021/3/2,4:00,2597,2313,0,34
2021/3/2,5:00,2689,2354,0,36
2021/3/2,6:00,2921,2528,9,37
2021/3/2,7:00,3192,2661,118,38
2021/3/2,8:00,3477,2963,208,38
2021/3/2,9:00,3663,3112,230,39
2021/3/2,10:00,3687,3086,322,40
2021/3/2,11:00,3636,3055,357,38
2021/3/2,12:00,3469,2864,383,36
2021/3/2,13:00,3624,3160,288,37
2021/3/2,14:00,3648,3230,131,39
2021/3/2,15:00,3633,3216,59,40
2021/3/2,16:00,3740,3273,24,39
2021/3/2,17:00,3829,3275,2,36
2021/3/2,18:00,3835,3304,0,35
2021/3/2,19:00,3729,3264,0,35
2021/3/2,20:00,3579,3189,0,32
2021/3/2,21:00,3429,3049,0,32
2021/3/2,22:00,3246,2820,0,36
2021/3/2,23:00,3061,2675,0,36
2021/3/3,0:00,2829,2462,0,34
2021/3/3,1:00,2726,2417,0,34
2021/3/3,2:00,2726,2470,0,33
2021/3/3,3:00,2752,2533,0,32
2021/3/3,4:00,2817,2563,0,31
2021/3/3,5:00,3003,2739,0,29
2021/3/3,6:00,3361,3027,20,29
2021/3/3,7:00,3583,2912,249,28
2021/3/3,8:00,3834,2742,627,26
2021/3/3,9:00,4044,2625,991,25
2021/3/3,10:00,4076,2376,1252,23
2021/3/3,11:00,4069,2272,1386,21
2021/3/3,12:00,3887,2080,1374,19
2021/3/3,13:00,3881,2174,1252,17
2021/3/3,14:00,3781,2311,1005,14
2021/3/3,15:00,3713,2645,656,13
2021/3/3,16:00,3782,3192,267,11
2021/3/3,17:00,3909,3512,26,11
2021/3/3,18:00,4049,3585,0,10
2021/3/3,19:00,3985,3594,0,10
2021/3/3,20:00,3847,3531,0,10
2021/3/3,21:00,3683,3374,0,12
2021/3/3,22:00,3480,3200,0,12
2021/3/3,23:00,3249,2986,0,10
2021/3/4,0:00,3001,2723,0,10
2021/3/4,1:00,2885,2620,0,10
2021/3/4,2:00,2856,2629,0,9
2021/3/4,3:00,2860,2681,0,9
2021/3/4,4:00,2907,2735,0,9
2021/3/4,5:00,3092,2933,0,8
2021/3/4,6:00,3455,3199,17,7
2021/3/4,7:00,3710,3107,215,7
2021/3/4,8:00,3985,2930,581,6
2021/3/4,9:00,4132,2772,915,7
2021/3/4,10:00,4101,2521,1196,7
2021/3/4,11:00,4044,2406,1269,6
2021/3/4,12:00,3812,2244,1147,5
2021/3/4,13:00,3850,2491,1002,5
